Company,LevelAudition,Name,ep2,ep4,ep6
Independent Trainees,A,Liu Jun,7,9,8
Independent Trainees,N,Huang Hongming / Alan,43,53,56
Independent Trainees,N,Gong Yixing / Owen,40,49,51
RADiANT PiCTURES,C,Yan Xi / Liam,13,18,22
DngD,N,Chen Zilong,103,114,113
Original Stone Music,C,Wu Yue / May,109,101,108
Astro Entertainment,A,Yu Jingtian / Tony,2,1,1
avex China,A,Xu Ziwei,93,25,15
B.K. Entertainment,B,Bai Lu,65,82,60
B/G ENTERTAINMENT,B,Wang Nanjun / Krystian,36,24,25
B/G ENTERTAINMENT,C,Li Qin / Kin,60,42,43
B/G ENTERTAINMENT,C,Li Shuo / Joker,80,69,88
B/G ENTERTAINMENT,C,Ying Chenxi / Layzon,47,56,81
Banana Entertainment,C,Jiang Jingzuo,8,13,14
Banana Entertainment,N,Zhao Jinyao / S.Titch,67,66,65
BF Entertainment,A,Wei Hongyu,84,4,4
ChengMengWenHua,N,Ke Er / Cole,118,48,58
Chenfan Entertainment,N,Zhong Fulin / Jony,91,71,59
"Beijing Chunyin Culture Media Co., Ltd.",B,Zhang Siyuan / G.G,24,17,19
CIWEN MEDIA,B,Deng Zeming / Jeremy,15,20,20
D.WANG MEDIA,C,Cao Yuxue,116,102,115
D.WANG MEDIA,B,Li Tianqi,89,103,112
D.WANG MEDIA,C,Li Zichen / Lion Lee,110,116,117
D.WANG MEDIA,C,Zhao Mingxuan,112,115,118
DMDF,C,Ka Si / Cass,31,45,57
DMDF,C,Chen Dingding / DING,18,28,37
DMDF,C,Qi Ha / Husky,26,33,47
DMDF,C,Shi Qijun / MR.17,30,41,53
DMDF,C,Cui Yunfeng / Otter,25,34,44
"Emperor (Beijing) Culture Development Co., Ltd.",C,Yu Yanlong,50,67,82
FancyTown Culture,B,Wang Jiachen,63,60,45
Gramarie Entertainment,N,Hu Xuanhao / SoNeX,108,110,101
HAOHAN Entertainment,N,Chang Huasen / Waston,11,15,17
HAOHAN Entertainment,B,Liu Guanyou / Neil,44,83,85
HAOHAN Entertainment,N,Liu Junhao / Kaiden,42,58,68
HAOHAN Entertainment,N,Li Tianyi,104,118,73
HAOHAN Entertainment,N,Zhang Shuaibo,71,95,100
HAOHAN Entertainment,N,Bao Han / Kepler,49,89,104
HEDGEHOG BROTHERS,C,Wang Haoxuan / WD,27,21,26
Beijing Lan Mei Tailor Made Production Culture,N,Han Jingde / Hans,56,35,41
Hotidol,N,Chen Yugeng / Crayon,32,36,33
HKBX Entertainment,C,Zi Yu,20,27,28
HKBX Entertainment,B,Zheng Xingyuan,23,31,34
HKBX Entertainment,C,Han Ruize,94,88,75
HKBX Entertainment,C,Li Mingxu,55,63,74
HKBX Entertainment,C,Wan Yuchen / Yuchoen,72,72,63
HUAYI BROTHERS FASHION,N,Wei Xingcheng / Vic Wei,75,70,77
JS Entertainment,N,Xiao He / River,90,44,48
JH Entertainment,C,Ayu,28,30,24
Kss,N,Aierfajin / Alpha,39,59,72
Kss,N,Wang Zi’ao / Hussein,119,-,-
Kss,C,Fu Xueyan / Fu,88,79,79
Kss,N,Zhou Junyu / Neil,57,80,96
LT. ENTERTAINMENT,C,Zhong Junyi / ONE,62,37,39
LaoyuVision,A,Sun Yinghao / Kachine,29,12,11
